root	I	II
għ-n-q-d	għanqad	tgħanqad
għ-n-q-t	għanqbat	
għ-n-s-r	għansar	tgħansal
għ-r-b-l	għarbel	(n)tgħarbel
għ-r-b-n	għarben	
għ-r-għ-r	għargħar	tgħargħar
għ-r-q-b	għarqeb	
għ-r-w-l	għarwel	
għ-r-w-n	għarwen	tgħarwen
għ-s-f-r	għosfor	tgħasfar
għ-s-l-ġ	għasleġ	tgħasleġ
għ-x-w-x	għaxwex	
għ-ż-ż-r	għażżar	
h-m-d-m	hendem	thendem
h-r-h-r	harhar	tharhar
h-r-w-l	herwel	therwel
h-w-d-n	hewden	thewden
ħ-b-ħ-b	ħebħeb,	
ħ-b-ħ-b	hebheb	
ħ-b-r-k	ħabrek	
ħ-l-ħ-l	ħalħal	tħalħal
ħ-w-s-l	ħawsel,	tħawsel
ħ-w-s-l	ħawsal	
ħ-w-t-l	ħawtel	
ħ-x-ħ-x	ħaxħax	
ħ-m-b-q	ħambaq	tħambaq
ħ-x-k-m	ħaxkem	
ħ-m-ħ-m	ħamħam	tħamħam
ħ-x-k-n	ħaxken	tħaxken
ħ-n-d-b	ħendeb	
ħ-x-l-f	ħaxlef	tħaxlef
ħ-n-d-m¹	ħandem	
ħ-x-w-x	ħaxwex	tħaxwex
ħ-n-d-m²	ħendem	tħendem
ħ-ż-d-q	ħażdaq	
ħ-n-d-q		tħandaq
ħ-n-f-s	ħanfes	tħanfes
ħ-n-ħ-n	ħanħan	
ħ-n-x-l	ħanxel	tħanxel
ħ-n-x-r	ħanxar	tħanxar
ħ-n-ż-r	ħanżer	tħanżer
ħ-r-b-t	ħarbat	tħarbat
ħ-r-b-x	ħarbex	tħarbex
ħ-r-f-n	ħarfen	
ħ-r-f-x	ħarfex	tħarfex
ħ-r-ħ-r¹	ħarħar	tħarħar
ħ-r-ħ-r²/h-r-h-r	ħarħar,	
ħ-r-ħ-r²/h-r-h-r	harhar	
ħ-r-k-n	ħarken	
ħ-r-t-m	ħartam	
k-b-r-s	kabras	tkabras
k-ċ-n-r	keċner,	
k-ċ-n-r	kaċnar	
k-ċ-w-n	keċwen	tkeċwen
k-f-k-f	*kafkaf	tkafkaf
k-għ-b-r	kagħbar	tkagħbar
k-għ-w-ġ	kagħweġ	tkagħweġ
k-l-j-j	kolja	
k-m-m-x	kemmex	tkemmex
k-m-p-j	kampa	
k-m-pl-j	kompla	tkompla
k-m-r-d	kamrad	
k-n-ġ-j	kanġa	
k-n-t-j	kanta	tkanta
k-p-r-j	kopra	tkopra
k-r-ċ-ħ	kerċaħ	tkerċaħ
k-r-f-s	karfas	tkarfas
k-r-k-r¹	karkar	tkarkar
k-r-k-r²	kerker	
k-r-m-d	karmad	
k-r-m-s	karmas	tkarmas,
k-r-m-s		tkarmes
k-r-n-j	korna	
k-r-w-t	karwat	tkarwat
k-r-t-b	kartab 	
k-s-b-r/k-ż-b-r	kasbar,	tkasbar
k-s-b-r/k-ż-b-r	każbar	
k-s-k-s¹	keskes 	tkeskes
k-s-k-s²	kaskas	
k-s-k-s³	keskes	
k-t-k-t	ketket,	
k-t-k-t	katkat,	
k-t-k-t	kitkit	
k-t-l-t	ketlet	
k-w-k-b	kewkeb	tkewkeb
k-w-l-t	kawlat	tkawlat
k-w-t-l	kewtel	
k-x-k-r	kaxkar,	tkaxkar
k-x-k-r	kaxkax	
k-x-k-x	kexkex	tkexkex
k-x-w-x	kexwex	
l-b-l-b¹	lablab	
l-b-l-b²	lebleb	tlebleb
l-f-l-f	leflef	tleflef
l-g-l-g	legleg	tlegleg
l-għ-l-għ	lagħlagħ	
l-ħ-l-ħ	laħlaħ	tlaħlaħ
l-l-l-x	lellex	tlellex
l-m-b-t/l-n-b-t	lembet,	
l-m-b-t/l-n-b-t	lenbet	
l-n-b-b/l-m-b-b	lenbeb	tlenbeb
l-n-b-b/l-m-b-b	lembeb	
l-n-ġ-s	lanġas	
l-n-ż-t	lanżat	tlanżat
l-q-l-q	laqlaq	
l-s-t-j	lesta	tlesta
l-t-l-t	letlet	
m-ċ-l-q	meċlaq	
m-ċ-m-ċ	meċmeċ	
m-ġ-n-n	meġnen	
m-għ-d-r	magħdar	
m-għ-m-għ	magħmagħ	
m-għ-r-k	miegħrek	
m-ħ-m-ħ	maħmaħ	tmaħmaħ
m-j-l-q	mejlaq	tmejlaq
m-j-n-j	majna	
m-k-m-k	mekmek	
m-n-d-r¹	mander	
m-n-d-r²		tmandar
m-n-għ-l	mengħel	
m-n-tn-j	mantna	tmantna
m-n-t-r	mantar	tmantar
m-n-w-l	manwal	
m-n-z-l	menzel	tmenzel
m-q-d-r	maqdar	tmaqdar
m-q-m-q	maqmaq	
m-r-għ-n	mergħen	tmergħen
m-r-k-k	merkek	
m-r-m-r¹	marmar	
m-r-m-r²	mermer	tmermer
m-r-t-l	martel	tmartel
m-r-ż-b	marżeb,	
m-r-ż-b	merżeb	
m-r-ż-q	merżaq	tmerżaq
m-s-ħ-n	masħan	tmasħan
m-s-ħ-r	masħar	tmasħar
m-s-k-n	mesken	tmesken
m-s-l-ħ	meslaħ	tmeslaħ
m-s-r-k	mesrek	
m-x-m-x	mexmex	tmexmex
m-x-t-r	maxtar	tmaxtar
m-ż-l-ġ	mażlaġ,	
m-ż-l-ġ	meżleġ	
m-ż-m-ż	meżmeż	tmeżmeż
n-ħ-n-ħ	naħnaħ,	
n-ħ-n-ħ	nahnah,	
n-ħ-n-ħ	nagħnagħ	
n-m-n-m/n-w-n-m	nemnem,	
n-m-n-m/n-w-n-m	newnem	
n-q-n-q	naqnaq	
n-r-v-ż	nerveż	tnerveż
n-ż-n-ż	nażnaż	
p-ċ-l-q	peċlaq	
p-ċ-p-ċ¹	paċpaċ	
p-ċ-p-ċ²	peċpeċ	tpeċpeċ
p-ħ-p-ħ	paħpaħ	tpaħpaħ
p-k-p-k	pakpak	
p-l-p-l	palpal	
p-n-ġ-j	pinġa	tpinġa
p-n-p-n	penpen,	
p-n-p-n	pennen	
p-n-z-l	penzel	
p-n-z-r	panzar	
p-q-p-q	paqpaq	
p-r-ċ-ħ	perċaħ	tperċaħ
p-r-l-j	parla	
p-r-p-n	parpan	
p-r-r-r¹	parpar	
p-r-p-r²	perper	tperper
p-r-t-j	parta	
p-r-t-t	partat	tpartat
p-r-t-x	partax	tpartax
p-s-p-r	paspar	tpaspar
p-s-p-s	pespes	tpespes
p-s-t-r	pastar	
p-s-t-ż	pastaż	tpastaż
p-t-p-t¹	patpat	
p-t-p-t²	petpet	
p-x-k-j	pixka	tpixka
p-x-p-x¹		tpaxpax
p-x-p-x²	pexpex,	
p-x-p-x²	pexxex	
p-ż-d-j/p-s-d-j	pożda,	
p-ż-d-j/p-s-d-j	posda	
p-z-p-z	pezpez	
q-b-r-s	qabras	tqabras
q-f-q-f	qafqaf	
q-ħ-q-ħ	qaħqaħ	
q-l-f-t	qalfat	tqalfat
q-m-q-m	qamqam,	
q-m-q-m	qomqom	
q-n-ċ-ċ	qanċeċ	tqanċeċ
q-n-d-l	qandel	tqandel
q-n-f-d	qanfed	tqanfed
q-n-p-n	qanpen	
q-n-q-l/q-l-q-l	qanqal,	tqanqal
q-n-q-l/q-l-q-l	qelqel	
q-n-s-r	qansar	
q-n-t-r	qantar	
q-n-ż-ħ	qanżaħ	tqanżaħ
q-r-b-n	qarben	tqarben
q-r-ċ-l	qarċel	tqarċel
q-r-d-n	qarden	tqarden
q-r-d-x	qardax	tqardax
q-r-m-ċ	qarmeċ	tqarmeċ
q-r-n-s	qarnas	tqarnas
q-r-q-ċ	qarqaċ	tqarqaċ
q-r-t-f	qartaf	tqartaf
q-r-t-m	qartam	tqartam
q-r-t-m		s
q-r-t-s	qartas	tqartas
q-r-w-ż	qarweż	tqarweż
q-s-d-r/q-ż-d-r	qasdar,	tqasdar
q-s-d-r/q-ż-d-r	qażdar	
q-w-q-b	qawqeb,	tqawqab,
q-w-q-b	qawqab	tqawqeb
q-x-l-f	qaxlef	tqaxlef
q-x-q-x	qaxqax	tqaxqax
q-ż-q-ż	qażqaż,	tqażqaż
q-ż-q-ż	qażqeż	
q-ż-w-t	qażwat	
r-ċ-p-l	reċpel	
r-m-b-l	rambal,	trembel,
r-m-b-l	rembel,	trambel
r-m-b-l	rambel	
r-m-p-l	rampel,	trampel
r-m-p-l	rampal	
r-n-d-j	renda	trenda
r-n-ġ-j		tranġa
r-n-ġ-t	ranġat	tranġat
r-s-t-t	rastat	
r-x-k-j	raxka,	
s-f-s-f	sefsef	ssefsef
s-f-t-r	sefter	
s-għ-t-r		ssagħtar
s-k-s-f	seksef	
s-k-r-n		ssakran
s-k-s-k	seksek	sseksek
s-l-s-l	selsel	
s-l-p-j	salpa	
s-l-t-n	saltan	
s-l-v-j¹	salva	ssalva
s-l-v-j²	solva	ssolva
s-l-v-j²	raska	
s-m-l-ħ		ssemlaħ
r-x-t-l	rixtel	trixtel
s-m-p-l	sempel	
s-m-s-m	samsam	
s-m-s-r	samsar	ssamsar
s-n-d-q	sendaq	
s-n-d-r	sandar	
s-n-ġ-t	sangat	
s-n-s-l	sensel	ssensel
s-n-s-r	sensar	
s-p-n-j		ssapna,
s-p-n-j		nsapna
s-q-s-j	saqsa,	
s-q-s-j		/s
s-q-s-j	staqsa	
s-r-b-t	sarbat	ssarbat
s-r-d-n	sardan	ssardan
s-r-d-q/s-r-d-k	serdaq	sserdaq,
s-r-d-q/s-r-d-k		sserdek
s-r-ġ-j	sorġa	
s-r-ġ-t	sarġat	
s-r-s-j		ssarsa
s-r-s-r¹	sarsar,	
s-r-s-r¹	ssarsa	
s-r-s-r²	serser	
s-r-v-j	serva	sserva
s-r-w-l/s-r-w-n	sarwal,	ssarwal
s-r-w-l/s-r-w-n	sarwan	
t-f-t-f	teftef	tteftef
t-għ-t-għ	tagħtagħ	
t-ħ-t-ħ	taħtaħ	
t-k-t-k	tektek	ttektek
t-m-t-m	temtem	ttemtem
t-n-b-r	tanbar	ttanbar
t-n-f-x	tenfex	ttenfex
t-n-k-l	tenkel	
t-n-t-n	tenten	
t-n-t-x	tentex	ttentex
t-p-t-p¹/t-b-t-b	taptap,	
t-p-t-p¹/t-b-t-b	tabtab	
t-p-t-p²	teptep	
v-l-ġ-j	volġa	
v-l-j-j¹	vilja	
v-l-j-j²	vilja	
v-n-ċ-j	vinċa	tvinċa
v-n-v-n	venven	tvenven
v-r-j-j	varja	tvarja
v-r-v-r	verver	
t-q-t-q	taqtaq	
t-r-b-ċ	tarbaċ	ttarbaċ
t-r-n-j¹	torna	
t-r-n-j²	*torna	
t-r-t-q	tertaq	ttertaq
t-r-t-r¹	terter	tterter
t-r-t-r²	tartar	
t-r-t-x	tertex	
t-x-t-x	textex	
w-d-w-d	wedwed	
w-ġ-w-ġ	weġweġ,	
w-ġ-w-ġ	weżweż,	
w-ġ-w-ġ	veġveġ,	
w-ġ-w-ġ	vexvex	
w-ħ-w-ħ	waħwaħ	
w-q-w-q	waqwaq	
w-r-d-n	werden	
w-r-w-r	werwer	twerwer
w-r-ż-q	werżaq	
w-s-w-s	weswes	
w-t-w-t¹	wetwet	
w-t-w-t²	watwat,	
w-t-w-t²	wetwet	
w-ż-w-ż	weżweż	tweżweż
x-b-l-k	xeblek	xxeblek
x-ħ-x-ħ	xaħxaħ	xxaħxaħ
x-j-t-n	xajtan,	xxajtan
x-j-t-n	xajten	
x-k-x-k	xekxek	
x-m-n-q	xemnaq	
x-n-d-r	xandar	xxandar
x-n-g-l	xengel	xxengel
x-n-x-l	xenxel,	xxenxel
x-n-x-l	xelxel	
x-p-p-p	xappap	xxappap
x-q-l-b	xaqleb	xxaqleb
x-r-m-d	xermed	xxermed
x-w-l-ħ	xewlaħ	xxewlaħ
ż-b-l-ħ	żeblaħ	żżeblaħ
ż-f-ż-f	żafżaf	żżafżaf
ż-m-b-ħ		żżembaħ
ż-g-l-g	żegleg	żżegleg
ż-g-ż-g	żagrag	żżagrag
ż-g-ż-g	żegżeg,	
ż-g-ż-g	żagżag	
ż-għ-b-l/ż-għ-b-r	żagħbel	żżagħbel,
ż-għ-b-l/ż-għ-b-r		żżegħber,
ż-għ-b-l/ż-għ-b-r		żżieber
ż-għ-f-r	żagħfar	
ż-j-b-r	żajbar	żżajbar
ż-k-ż-k	żekżek	
ż-l-ż-l	żelzel	
ż-m-b-ħ	*żembaħ	żżembaħ
ż-m-b-r¹	żambar	żżambar
ż-m-b-r²	żambar	
ż-m-ż-m	żemżem,	
ż-m-ż-m	żimżem,	
ż-m-ż-m	żamżam	
ż-n-b-l	żenbel	
ż-n-g-l	żengel	żżengel
ż-n-g-r	żenger	
